hero,role,counter,explain
Tigreal,Roam,Floryn,lorem ipsum dolor
,,Diggie,lorem ipsum dolor
,,Hylos,lorem ipsum dolor
,,Minotaur,lorem ipsum dolor
,,Khaleed,lorem ipsum dolor
,xplane,Gloo,lorem ipsum dolor
,,Cici,lorem ipsum dolor
,,Gatotkaca,lorem ipsum dolor
,,Phoveus,lorem ipsum dolor
,,Badang,lorem ipsum dolor
,goldlane,Wanwan,lorem ipsum dolor
,,Moskov,lorem ipsum dolor
,,Natan,lorem ipsum dolor
,,Irithel,lorem ipsum dolor
,,Claude,lorem ipsum dolor
,jungler,Lancelot,lorem ipsum dolor
,,Yi Sun-shin,lorem ipsum dolor
,,Akai,lorem ipsum dolor
,,Lapu-Lapu,lorem ipsum dolor
,,Martis,lorem ipsum dolor
,midlane,Vexana,lorem ipsum dolor
,,Aurora,lorem ipsum dolor
,,Valir,lorem ipsum dolor
,,Zhuxin,lorem ipsum dolor
,,Faramis,lorem ipsum dolor
pharsa,Roam,Floryn,lorem ipsum dolor
,,Diggie,lorem ipsum dolor
,,Hylos,lorem ipsum dolor
,,Minotaur,lorem ipsum dolor
,,Khaleed,lorem ipsum dolor
,xplane,Gloo,lorem ipsum dolor
,,Cici,lorem ipsum dolor
,,Gatotkaca,lorem ipsum dolor
,,Phoveus,lorem ipsum dolor
,,Badang,lorem ipsum dolor
,goldlane,Wanwan,lorem ipsum dolor
,,Moskov,lorem ipsum dolor
,,Natan,lorem ipsum dolor
,,Irithel,lorem ipsum dolor
,,Claude,lorem ipsum dolor
,jungler,Lancelot,lorem ipsum dolor
,,Yi Sun-shin,lorem ipsum dolor
,,Akai,lorem ipsum dolor
,,Lapu-Lapu,lorem ipsum dolor
,,Martis,lorem ipsum dolor
,midlane,Vexana,lorem ipsum dolor
,,Aurora,lorem ipsum dolor
,,Valir,lorem ipsum dolor
,,Zhuxin,lorem ipsum dolor
,,Faramis,lorem ipsum dolor
nana,Roam,Floryn,lorem ipsum dolor
,,Diggie,lorem ipsum dolor
,,Hylos,lorem ipsum dolor
,,Minotaur,lorem ipsum dolor
,,Khaleed,lorem ipsum dolor
,xplane,Gloo,lorem ipsum dolor
,,Cici,lorem ipsum dolor
,,Gatotkaca,lorem ipsum dolor
,,Phoveus,lorem ipsum dolor
,,Badang,lorem ipsum dolor
,goldlane,Wanwan,lorem ipsum dolor
,,Moskov,lorem ipsum dolor
,,Natan,lorem ipsum dolor
,,Irithel,lorem ipsum dolor
,,Claude,lorem ipsum dolor
,jungler,Lancelot,lorem ipsum dolor
,,Yi Sun-shin,lorem ipsum dolor
,,Akai,lorem ipsum dolor
,,Lapu-Lapu,lorem ipsum dolor
,,Martis,lorem ipsum dolor
,midlane,Vexana,lorem ipsum dolor
,,Aurora,lorem ipsum dolor
,,Valir,lorem ipsum dolor
,,Zhuxin,lorem ipsum dolor
,,Faramis,lorem ipsum dolor
